title,texto_lemmatizado
Touki Bouki,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'cowherd', 'skull-mounted', 'motorcycle', 'university', 'student', 'meet', 'Dakar', ';', 'put', 'life', 'Senegal', ',', 'plan', 'make', 'money', 'Paris', '.']"
God's Gift,"['[', ""'Drama"", ""'"", ']', 'pre-colonial', 'time', 'peddler', 'crossing', 'savanna', 'discovers', 'child', 'lying', 'unconscious', 'bush', '.', 'boy', 'come', ',', 'mute', 'explain', '.', 'peddler', 'leaf', 'family', 'nearest', 'village', '.', 'search', 'parent', ',', 'family', 'adopts', ',', 'giving', 'name', 'Wend', 'Kuuni', '(', 'God', ""'s"", 'Gift', ')', 'loving', 'sister', 'bond', '.', 'Wend', 'Kuuni', 'regains', 'speech', 'witnessing', 'tragic', 'event', 'prompt', 'reveal', 'painful', 'history', '.']"
Spirits of the Dead,"['[', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Horror"", ""'"", ']', 'Three', 'director', 'adapt', 'Poe', 'short', 'story', 'screen', ':', '``', 'Toby', 'Dammit', ""''"", 'feature', 'disheveled', 'drugged', 'drunk', 'English', 'movie', 'star', 'nod', 'acceptance', 'Italian', 'press', 'producer', 'fawn', '.', '``', 'Metzengerstein', ""''"", 'feature', 'Mediveal', 'countess', 'love-hate', 'relationship', 'black', 'stallion', '-', 'turn', 'really', 'dead', 'lover', '.', '``', 'William', 'Wilson', ""''"", 'tell', 'story', 'sadistic', 'Austrian', 'student', 'exact', 'double', 'later', 'kill', '.']"
Babyfever,"['[', ']', 'Gena', 'average', 'woman', 'torn', 'current', 'boyfriend', ""'s"", 'desire', 'marry', 'start', 'family', ',', 'unexpected', 'arrival', 'old', 'boyfriend', 'wanting', 'pick', 'left', '.', 'complicate', 'matter', ',', 'might', 'pregnant', '.', 'mist', 'unsettled', 'personal', 'life', ',', 'Gena', 'leaf', 'two', 'men', 'attend', 'baby', 'shower', 'party', 'girl', 'friend', 'talk', 'various', 'female', 'attendee', 'facing', 'ticking', 'biological', 'clock', '.']"
Pharaoh's  Army,"['[', ""'Western"", ""'"", ',', ""'Drama"", ""'"", ',', ""'War"", ""'"", ']', 'Union', 'soldier', 'search', 'food', 'descend', 'farm', 'Confederate', 'family', 'decide', 'stay', 'one', 'rank', ""'"", 'wound', 'healed', '.', 'war', 'weary', 'Union', 'captain', '(', 'Chris', 'Cooper', ')', 'fall', 'mother', 'family', '(', 'Patricia', 'Clarkson', ')', '-', 'whose', 'husband', 'fighting', 'rebel', '-', 'son', 'plot', 'revenge', 'dirty', ',', 'double-dealing', 'Yankees', '.', 'Co-stars', 'Kris', 'Kristofferson', '.']"
Trainspotting,"['[', ""'Drama"", ""'"", ',', ""'Crime"", ""'"", ']', 'Renton', ',', 'deeply', 'immersed', 'Edinburgh', 'drug', 'scene', ',', 'try', 'clean', 'get', ',', 'despite', 'allure', 'drug', 'influence', 'friend', '.']"
Til There Was You,"['[', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Two', 'stranger', ',', 'whose', 'path', 'always', 'crossing', ',', 'finally', 'meet', 'fate', 'step', '.', 'took', 'twenty', 'year', 'fall', 'love', 'first', 'sight', '.']"
Independence Day,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'July', '2', ',', 'giant', 'alien', 'mothership', 'enters', 'orbit', 'around', 'Earth', 'deploys', 'several', 'dozen', 'saucer-shaped', ""'destroyer"", ""'"", 'spacecraft', 'quickly', 'lay', 'waste', 'major', 'city', 'around', 'planet', '.', 'July', '3', ',', 'United', 'States', 'conduct', 'coordinated', 'counterattack', 'fails', '.', 'July', '4', ',', 'plan', 'devised', 'gain', 'access', 'interior', 'alien', 'mothership', 'space', ',', 'order', 'plant', 'nuclear', 'missile', '.']"
Stealing Beauty,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Lucy', 'Harmon', ',', 'American', 'teenager', 'arriving', 'lush', 'Tuscan', 'countryside', 'sculpted', 'family', 'friend', 'life', 'beautiful', 'villa', '.', 'Lucy', 'visited', 'four', 'year', 'earlier', 'exchanged', 'kiss', 'Italian', 'boy', 'hope', 'become', 'reacquainted', '.']"
The Fan,"['[', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'San', 'Francisco', 'Giants', 'pay', 'centerfielder', 'Bobby', 'Rayburn', '$', '40', 'million', 'lead', 'team', 'World', 'Series', ',', 'one', 'happier', 'supportive', '#', '1', 'fan', 'Gil', 'Renard', '.', 'Rayburn', 'becomes', 'mired', 'worst', 'slump', 'career', ',', 'obsessed', 'Renard', 'decides', 'stop', 'nothing', 'help', 'idol', 'regain', 'former', 'glory', '...', 'even', 'murder', '.']"
The Hunchback of Notre Dame,"['[', ""'Drama"", ""'"", ',', ""'Animation"", ""'"", ',', ""'Family"", ""'"", ']', 'Quasi', 'defies', 'evil', 'Frollo', 'venture', 'Festival', 'Fools', ',', 'cruel', 'crowd', 'jeer', '.', 'Rescued', 'fellow', 'outcast', 'gypsy', 'Esmeralda', ',', 'Quasi', 'soon', 'find', 'battling', 'save', 'people', 'city', 'love', '.']"
The Cable Guy,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'recently', 'single', 'Steven', 'move', 'new', 'apartment', ',', 'cable', 'guy', 'Chip', 'come', 'hook', '--', ""n't"", 'let', 'go', '.', 'Initially', ',', 'Chip', 'overzealous', 'desire', 'Steven', ""'s"", 'pal', ',', 'Steven', 'try', 'end', '``', 'friendship', ',', ""''"", 'Chip', 'show', 'dark', 'side', '.', 'begin', 'stalking', 'Steven', ',', ""'s"", 'left', 'fend', 'one', 'else', 'believe', 'Chip', ""'s"", 'capable', 'behavior', '.']"
Kingpin,"['[', ""'Comedy"", ""'"", ']', 'bowler', 'Roy', 'Munson', 'swindle', 'wrong', 'crowd', 'left', 'hook', 'hand', ',', 'settle', 'impoverished', 'obscurity', '.', ',', 'uncovers', 'next', 'big', 'thing', ':', 'Amish', 'kid', 'named', 'Ishmael', '.', ',', 'corrupt', 'hopelessly', 'naïve', 'hit', 'circuit', 'intent', 'settling', 'old', 'score', 'Big', 'Ern', '.']"
Eraser,"['[', ""'Action"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'U.S.', 'Marshall', 'John', 'Kruger', 'era', 'identity', 'people', 'enrolled', 'Witness', 'Protection', 'Program', '.', 'current', 'assignment', 'protect', 'Lee', 'Cullen', ',', ""'s"", 'uncovered', 'evidence', 'weapon', 'manufacturer', 'work', 'selling', 'terrorist', 'group', '.', 'Kruger', 'discovers', ""'s"", 'corrupt', 'agent', 'within', 'program', ',', 'must', 'guard', 'life', 'trying', 'protect', 'Lee', ""'s"", '.']"
The Gate of Heavenly Peace,"['[', ""'Documentary"", ""'"", ']', 'Gate', 'Heavenly', 'Peace', 'feature-length', 'documentary', '1989', 'protest', 'movement', ',', 'reflecting', 'drama', ',', 'tension', ',', 'humor', ',', 'absurdity', ',', 'heroism', ',', 'many', 'tragedy', 'six', 'week', 'April', 'June', '1989', '.', 'film', 'reveals', 'hard-liners', 'within', 'government', 'marginalized', 'moderate', 'among', 'protester', '(', 'including', 'student', ',', 'worker', 'intellectual', ')', ',', 'action', 'radical', 'protester', 'undermined', 'moderate', 'government', '.', 'Moderate', 'voice', 'gradually', 'cowed', 'silenced', 'extremism', 'emotionalism', 'side', '.']"
The Nutty Professor,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'Eddie', 'Murphy', 'star', 'shy', 'Dr.', 'Sherman', 'Klump', ',', 'kind', ',', 'brilliant', ',', ""'calorifically"", 'challenged', ""'"", 'genetic', 'professor', '.', 'beautiful', 'Carla', 'Purty', 'join', 'university', 'faculty', ',', 'Sherman', 'grows', 'desperate', 'whittle', '400-pound', 'frame', 'size', 'win', 'heart', '.', ',', 'one', 'swig', 'experimental', 'fat-reducing', 'serum', ',', 'Sherman', 'becomes', ""'Buddy"", 'Love', ""'"", ',', 'fast-talking', ',', 'pumped-up', ',', 'plumped', 'Juan', '.']"
"I, the Worst of All","['[', ""'Drama"", ""'"", ',', ""'Foreign"", ""'"", ']', 'viceroy', 'archbishop', 'take', 'post', 'Mexico', '.', 'local', 'nun', ',', 'Sor', 'Juana', 'Inés', 'de', 'la', 'Cruz', '(', '1651-1695', ')', ',', 'intrigue', '.', 'viceroy', 'wife', 'find', 'brilliant', 'fascinating', '.', 'prelate', 'find', 'symbol', 'European', 'laxity', '.', 'engineer', 'election', 'new', 'abbess', ',', 'severe', 'ascetic', '.', 'virreina', 'visit', 'Sor', 'Juana', 'often', 'inspires', 'write', 'passionate', 'poetry', 'archbishop', 'find', 'scandalous', '.', 'viceroy', 'protects', '.', 'replaced', 'return', 'Spain', 'wife', ',', 'Sor', 'Juana', 'face', 'envy', 'retribution', '.', 'bishop', 'betrays', ',', 'confessor', 'humbles', '.', 'Plague', ',', 'tribunal', ',', 'confession', '``', 'worst', ""''"", 'end', 'great', 'poet', ""'s"", 'life', '.']"
An Unforgettable Summer,"['[', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ',', ""'War"", ""'"", ']', '1925', 'Romania', ',', 'young', 'Marie-Therese', 'Von', 'Debretsy', 'refuse', 'flirtatious', 'advance', 'husband', ""'s"", 'commanding', 'officer', '.', 'result', ',', 'cosmopolitan', 'family', 'reassigned', 'brutally', 'bleak', 'dangerous', 'outpost', 'Bulgarian/Romanian', 'frontier', 'relationship', 'humanity', 'severely', 'tested', '.']"
A Hungarian Fairy Tale,"['[', ']', 'Shot', 'B', '&', 'amp', ';', 'W', ',', 'Gyula', 'Gazdag', ""'s"", 'film', 'follows', 'surreal', 'often', 'comic', 'quest', 'young', 'Andris', ',', 'orphan', 'searching', 'father', ""n't"", 'exist', ',', 'Orban', ',', 'government', 'clerk', ""'s"", 'enough', 'oppressive', 'bureaucracy', '.']"
My Life and Times With Antonin Artaud,"['[', ']', 'May', ',', '1946', ',', 'Paris', 'young', 'poet', 'Jacques', 'Prevel', 'meet', 'Antonin', 'Artaud', ',', 'actor', ',', 'artist', ',', 'writer', 'released', 'mental', 'asylum', '.', 'ten', 'month', ',', 'follow', 'mad', 'Artaud', 'cruel', 'coaching', 'actress', '``', 'theatre', 'cruelty', ""''"", 'semi-friendship', 'Prevel', 'buy', 'drug', 'hang', 'every', 'word', '.', 'Meanwhile', ',', 'Prevel', 'divide', 'time', 'Jany', ',', 'blond', ',', 'young', ',', 'drug-hazed', 'mistress', ',', 'Rolande', ',', 'dark-haired', ',', 'long-suffering', 'wife', ',', 'child', 'time', '.', 'Cruelty', ',', 'neglect', ',', 'poverty', ',', 'egoism', ',', 'madness', ',', 'pursuit', 'art', 'mix', 'Left', 'Bank', '.']"
Midnight Dancers,"['[', ']', 'Brothers', 'Joel', '(', 'Alex', 'Del', 'Rosario', ')', ',', 'Dennis', '(', 'Grandong', 'Cervantes', ')', 'Sonny', '(', 'Lawrence', 'David', ')', 'work', 'together', 'dancer', 'low-rent', 'gay', 'bar', 'downtown', 'Manila', ',', 'Philippines', '.', 'Despite', 'mother', ""'s"", 'plea', ',', 'Sonny', 'decides', 'quit', 'college', 'work', 'full-time', 'bar', ',', 'Dennis', 'moved', 'beyond', 'dancing', 'prostitution', 'urging', 'manipulative', 'club', 'manager', '.', 'Joel', ',', 'eldest', ',', 'try', 'balance', 'secret', 'gay', 'life', 'socially', 'respectable', 'role', 'husband', 'father', '.']"
Somebody to Love,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ']', 'Mercedes', 'taxi', 'dancer', 'want', 'actress', '.', ""'s"", 'involved', 'married', 'Harry', ',', 'considers', 'respected', 'actor', '.', 'Ernesto', 'love', 'Mercedes', ',', ""n't"", 'dance', 'money', '.']"
A Very Natural Thing,"['[', ""'Drama"", ""'"", ']', 'David', ',', 'ex-monk', 'still', 'twenty', 'meet', 'Mark', ',', 'fall', 'hard', ';', 'soon', ""'s"", 'asked', 'Mark', 'live', 'together', '.', 'Things', 'go', 'well', 'awhile', ',', 'difference', 'definition', '``', 'commitment', ""''"", 'begin', 'push', 'apart', '.', 'Mark', 'want', 'sexual', 'adventure', ',', 'David', 'try', 'go', 'along', '.', 'talk', 'crisis', 'relationship', 'breakup', 'offing', '?', 'David', 'see', 'relationship', 'Mark', 'marriage', ',', 'end', ',', 'David', ""'s"", 'heart', 'ever', 'heal', '?']"
The Old Lady Who Walked in the Sea,"['[', ""'Comedy"", ""'"", ']', 'La', 'vieille', 'qui', 'marchait', 'dans', 'la', 'mer', '(', 'English', ':', 'Old', 'Lady', 'Walked', 'Sea', ')', '1991', 'French', 'film', 'directed', 'Laurent', 'Heynemann', 'written', 'Heynemann', 'Dominique', 'Roulet', '.', '1992', 'César', 'Award', 'Best', 'Actress', '.']"
Daylight,"['[', ""'Action"", ""'"", ',', ""'Adventure"", ""'"", ',', ""'Thriller"", ""'"", ']', 'group', 'armed', 'robber', 'fleeing', 'police', 'head', 'New', 'Jersey', 'Tunnel', 'run', 'right', 'truck', 'transporting', 'toxic', 'waste', '.', 'spectacular', 'explosion', 'follows', 'result', 'end', 'tunnel', 'collapsing', 'handful', 'people', 'survived', 'explosion', 'peril', '.', 'Kit', 'Latura', 'man', 'skill', 'knowledge', 'lead', 'band', 'survivor', 'tunnel', 'structure', 'collapse', '.']"
The Frighteners,"['[', ""'Horror"", ""'"", ',', ""'Comedy"", ""'"", ']', 'architect', ',', 'Frank', 'Bannister', 'pass', 'exorcist', 'evil', 'spirit', '.', 'bolster', 'facade', ',', 'claim', '``', 'special', ""''"", 'gift', 'result', 'car', 'accident', 'killed', 'wife', '.', 'count', 'people', 'dying', 'small', 'town', 'life', '.', 'try', 'piece', 'together', 'supernatural', 'mystery', 'killing', ',', 'fall', 'love', 'wife', 'one', 'victim', 'deal', 'crazy', 'FBI', 'agent', '.']"
Lone Star,"['[', ""'Drama"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Romance"", ""'"", ']', 'skeleton', 'murdered', 'predecessor', 'found', ',', 'Sheriff', 'Sam', 'Deeds', 'unearths', 'many', 'long-buried', 'secret', 'Texas', 'border', 'town', '.']"
Harriet the Spy,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Family"", ""'"", ']', 'secret', 'notebook', 'young', 'girl', 'fancy', 'spy', 'found', 'friend', ',', 'speculation', 'make', 'unpopular', '!', 'win', 'friend', 'back', '?']"
Phenomenon,"['[', ""'Drama"", ""'"", ',', ""'Fantasy"", ""'"", ',', ""'Romance"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ']', 'ordinary', 'man', 'see', 'bright', 'light', 'descend', 'sky', ',', 'discovers', 'super-intelligence', 'telekinesis', '.']"
Walking and Talking,"['[', ""'Comedy"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Romance"", ""'"", ']', 'Things', 'tough', 'lately', 'Amelia', '.', 'best', 'friend', 'moved', 'apartment', ',', 'cat', 'got', 'cancer', ',', 'best', 'friend', ',', 'Laura', ',', 'getting', 'married', '.', 'cope', 'thing', ',', 'help', 'Andrew', ',', 'Frank', ',', 'Laura', ',', 'brief', 'romance', 'Bill', '``', 'Ugly', 'Guy', ""''"", '.']"
She's the One,"['[', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'Mickey', ',', 'free-spirited', 'New', 'York', 'cabbie', ',', 'Francis', ',', 'materialistic', 'Wall', 'Street', 'stockbroker', ',', 'extremely', 'competitive', 'confused', 'woman', 'result', 'father', ""'s"", 'influence', '.', 'Though', 'disagree', 'everything', ',', 'one', 'thing', 'common', ':', 'Mickey', ""'s"", 'ex-fiance', 'Heather', 'Francis', ""'s"", 'secret', 'love', '.', 'Though', 'brother', 'beautiful', 'wife', ',', 'Heather', 'trigger', 'longtime', 'sibling', 'rivalry']"
A Time to Kill,"['[', ""'Crime"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'young', 'lawyer', 'defends', 'black', 'man', 'accused', 'murdering', 'two', 'men', 'raped', '10-year-old', 'daughter', ',', 'sparking', 'rebirth', 'KKK', '.']"
American Buffalo,"['[', ""'Drama"", ""'"", ']', 'Three', 'inner-city', 'loser', 'plan', 'robbery', 'valuable', 'coin', 'seedy', 'second-hand', 'junk', 'shop', '.']"
Rendezvous in Paris,"['[', ""'Romance"", ""'"", ',', ""'Comedy"", ""'"", ']', 'Three', 'story', 'love', 'coincidence', 'around', 'theme', 'date', 'Paris', '.']"
Alaska,"['[', ""'Adventure"", ""'"", ']', 'Jake', 'Barnes', 'two', 'kid', ',', 'Sean', 'Jessie', ',', 'moved', 'Alaska', 'wife', 'died', '.', 'former', 'airline', 'pilot', 'delivering', 'toilet', 'paper', 'across', 'mountain', '.', 'emergency', 'delivery', 'storm', 'plane', 'go', 'somewhere', 'mountain', '.', 'Annoyed', 'authority', ""n't"", 'enough', ',', 'Jessie', 'Sean', 'set', 'adventure', 'find', 'father', 'help', 'polar', 'bear', 'saved', 'ferocious', 'poacher', '.', 'Conflict', 'ensues', '.']"
Fled,"['[', ""'Action"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Thriller"", ""'"", ']', 'routine', 'prison', 'work', 'detail', ',', 'convict', 'Piper', 'chained', 'Dodge', ',', 'cyberhacker', ',', 'gunfire', 'break', '.', 'Apparently', ',', 'attack', 'related', 'stolen', 'money', 'Mafia', ',', 'computer', 'file', 'somebody', 'want', 'desperately', 'bury', '.', 'pair', ',', ""n't"", 'exactly', 'enjoy', ""'s"", 'company', ',', 'escape', 'must', 'work', 'together', 'reach', 'Atlanta', 'alive', '.', 'Luckily', ',', 'meet', 'woman', 'may', 'willing', 'help', '.']"
Kazaam,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Family"", ""'"", ']', 'Shaquille', ""O'Neal"", 'rapping', 'genie', 'protects', 'little', 'boy', '.']"
Magic Hunter,"['[', ']', 'battle-scarred', ',', 'has-been', 'Hungarian', 'cop', ',', 'tormented', 'memory', 'accidentally', 'killing', 'innocent', 'woman', 'custody', ',', 'enters', 'Faustian', 'pact', 'trade', 'soul', 'handful', '``', 'magic', ""''"", 'bullet', 'always', 'hit', 'mark', '.', 'mysterious', 'mythical', 'story', '.']"
Larger Than Life,"['[', ""'Family"", ""'"", ',', ""'Comedy"", ""'"", ']', 'Motivational', 'Speaker', 'Jack', 'Corcoran', 'determined', 'get', 'career', 'ground', ',', 'biggest', 'gig', 'get', 'one', 'nobody', 'want', '.', 'one', 'day', ',', 'receives', 'telegram', 'circus', 'clown', 'father', 'passed', 'away', ',', 'left', '``', 'huge', ""''"", 'inheritance', '.', 'get', ',', 'find', 'inheritance', 'come', 'form', 'elephant', 'father', ""'s"", 'pride', 'joy', 'circus', 'act', '.', 'main', 'intention', 'sell', 'pachyderm', '.', 'Jack', 'must', 'choose', 'loud', 'rude', 'zookeeper', 'Mo', 'attractive', 'animal', 'show', 'owner', 'Terry', '.', 'two', 'trek', 'country', 'Jack', 'elephant', 'develop', 'bond', ',', 'change', 'approach', 'life', 'better', '.']"
A Boy Called Hate,"['[', ']']"
Power 98,"['[', ""'Action"", ""'"", ',', ""'Mystery"", ""'"", ',', ""'Thriller"", ""'"", ']', 'controversial', 'talk', 'show', 'host', 'becomes', 'involved', 'murder', 'beautiful', 'woman', 'war', 'rating', '.']"
Two Deaths,"['[', ""'War"", ""'"", ',', ""'Drama"", ""'"", ']', 'tale', 'power', ',', 'passion', 'obsession', 'set', 'politically', 'torn', 'Eastern', 'European', 'country', '.']"
A Very Brady Sequel,"['[', ""'Comedy"", ""'"", ']', 'man', 'claiming', 'Carol', 'Brady', ""'s"", 'long-lost', 'first', 'husband', ',', 'Roy', 'Martin', ',', 'show', 'suburban', 'Brady', 'residence', 'one', 'evening', '.', 'impostor', ',', 'man', 'actually', 'determined', 'steal', 'Bradys', ""'"", 'familiar', 'horse', 'statue', ',', '$', '20-million', 'ancient', 'Asian', 'artifact', '.']"
Stefano Quantestorie,"['[', ""'Comedy"", ""'"", ']', 'La', 'storia', 'di', 'Stefano', '(', 'Maurizio', 'Nichetti', ')', 'sembra', 'molto', '``', 'normale', ""''"", 'cosa', 'sarebbe', 'successo', 'nella', 'sua', 'vita', 'se', '...', 'Le', 'molte', 'vite', 'possibili', 'di', 'Stefano', 'si', 'intrecciano', 'modi', 'imprevedibili']"
Death in the Garden,"['[', ""'Adventure"", ""'"", ',', ""'Drama"", ""'"", ']', 'Amid', 'revolution', 'South', 'American', 'mining', 'outpost', ',', 'band', 'fugitive', '-', 'roguish', 'adventurer', ',', 'local', 'hooker', ',', 'priest', ',', 'aging', 'diamond', 'miner', 'deaf-mute', 'daughter', '-', 'forced', 'flee', 'life', 'jungle', '.', 'Starving', ',', 'exhausted', 'stripped', 'old', 'identity', ',', 'wander', 'desperately', 'lured', 'one', 'deceptive', 'promise', 'salvation', 'another', '.']"
Hedd Wyn,"['[', ""'War"", ""'"", ',', ""'Drama"", ""'"", ']', ""'Hedd"", 'Wyn', ""'"", '1992', 'Welsh', 'anti-war', 'biopic', '.', 'Ellis', 'Humphrey', 'Evans', ',', 'farmer', ""'s"", 'son', 'poet', 'living', 'Trawsfynydd', 'Meirionydd', 'countryside', 'upland', 'Wales', ',', 'competes', 'coveted', 'prize', 'Welsh', 'Poetry', '-', 'chair', 'National', 'Eisteddfod', ',', 'August', '1917', 'due', 'held', 'Birkenhead', '(', 'one', 'rare', 'occasion', 'held', 'England', ')', '.', 'submitting', 'entry', ',', 'bardic', 'name', '``', 'Hedd', 'Wyn', ""''"", '(', '``', 'Blessed', 'Peace', ""''"", ')', 'Evans', 'later', 'departs', 'Meirionydd', 'train', 'join', 'Royal', 'Welsh', 'Fusiliers', 'Liverpool', ',', 'despite', 'initial', 'misgiving', 'war', '.', 'Ellis', 'sent', 'fight', 'trench', 'Flanders', '.', ""'Hedd"", 'Wyn', ""'"", 'first', 'Welsh-language', 'film', 'nominated', 'Oscar', '.']"
La Collectionneuse,"['[', ""'Drama"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Romance"", ""'"", ']', 'bombastic', ',', 'womanizing', 'art', 'dealer', 'painter', 'friend', 'go', 'seventeenth-century', 'villa', 'Riviera', 'relaxing', 'summer', 'getaway', '.', 'idyll', 'disturbed', 'presence', 'bohemian', 'Haydée', ',', 'accused', '“', 'collector', '”', 'men', '.']"
Kaspar Hauser,"['[', ""'Drama"", ""'"", ',', ""'Foreign"", ""'"", ']', 'overview', 'found', '.']"
Regular Guys,"['[', ""'Comedy"", ""'"", ',', ""'Foreign"", ""'"", ']', 'Christoph', ',', 'cop', 'self-confident', 'macho', ',', 'trouble', 'fiance', '.', 'long', 'night', 'wake', 'arm', 'Edgar', ',', 'good-looking', ',', 'gay', 'auto-mechanic', '.', 'live', 'get', 'troublesome', 'girl', 'friend', 'throw', 'apartment', 'last', 'resort', 'move', 'Edgars', 'place', '.', 'Working', 'together', 'new', ',', 'good-looking', ',', 'self-confident', ',', 'female', 'collegue', ',', 'living', 'good-looking', 'gay', 'guy', 'make', 'pretty', 'uncertain', 'sexuality', 'role', 'cop', '.', 'Written', 'Konstantin', 'Articus']"
Diebinnen,"['[', ""'Drama"", ""'"", ']']"
The Convent,"['[', ""'Thriller"", ""'"", ']', 'journey', 'Michael', 'Padovic', ',', 'American', 'professor', 'arrives', 'wife', ',', 'Helene', ',', 'Portuguese', 'convent', 'expects', 'find', 'document', 'needed', 'prove', 'theory', ':', 'Shakespeare', 'born', 'Spain', ';', 'England', '.']"
The Adventures of Pinocchio,"['[', ""'Animation"", ""'"", ',', ""'Family"", ""'"", ',', ""'Fantasy"", ""'"", ']', 'One', 'puppet-maker', 'Geppetto', ""'s"", 'creation', 'come', 'magically', 'life', '.', 'puppet', ',', 'Pinocchio', ',', 'one', 'major', 'desire', 'become', 'real', 'boy', 'someday', '.', 'order', 'accomplish', 'goal', 'learn', 'act', 'responsibly', '.', 'film', 'show', 'adventure', 'learns', 'valuable', 'lesson', '.']"
Joe's Apartment,"['[', ""'Fantasy"", ""'"", ',', ""'Comedy"", ""'"", ',', ""'Music"", ""'"", ']', 'nice', 'guy', 'moved', 'New', 'York', 'discovers', 'must', 'share', 'run-down', 'apartment', 'couple', 'thousand', 'singing', ',', 'dancing', 'cockroach', '.']"
The First Wives Club,"['[', ""'Comedy"", ""'"", ']', 'year', 'helping', 'hubby', 'climb', 'ladder', 'success', ',', 'three', 'mid-life', 'Manhattanites', 'dumped', 'newer', ',', 'curvier', 'model', '.', 'trio', 'determined', 'turn', 'pain', 'gain', '.', 'come', 'cleverly', 'devious', 'plan', 'hit', 'ex', 'really', 'hurt', '-', 'wallet', '!']"
Stonewall,"['[', ""'Romance"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Comedy"", ""'"", ']', 'group', 'homosexual', 'people', 'try', 'live', 'dignity', 'self-respect', 'event', 'build', 'opening', 'battle', 'major', 'gay', 'right', 'movement', '.']"
Ransom,"['[', ""'Action"", ""'"", ',', ""'Thriller"", ""'"", ']', 'rich', 'man', ""'s"", 'son', 'kidnapped', ',', 'cooperates', 'police', 'first', 'try', 'unique', 'tactic', 'criminal', '.']"
High School High,"['[', ""'Comedy"", ""'"", ']', 'Richard', 'Clark', 'left', 'well-known', 'Wellington', 'Academy', 'teach', 'Marion', 'Barry', 'High', 'School', '.', ',', 'try', 'inspire', 'D-average', 'student', 'making', 'good', 'grade', 'try', 'woo', 'fellow', 'teacher', '.']"
Phat Beach,"['[', ""'Comedy"", ""'"", ']', 'hefty', 'homeboy', 'borrows', 'dad', ""'s"", 'Mercedes', 'go', 'beach', 'friend', 'wild', 'sun', '&', 'amp', ';', 'fun', '.']"
Foxfire,"['[', ""'Action"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Thriller"", ""'"", ']', 'story', 'five', 'teenage', 'girl', 'form', 'unlikely', 'bond', 'beating', 'teacher', 'sexually', 'harassed', '.', 'build', 'solid', 'friendship', 'wild', 'way', 'begin', 'get', 'control', '.']"
Chain Reaction,"['[', ""'Action"", ""'"", ',', ""'Drama"", ""'"", ',', ""'Science"", 'Fiction', ""'"", ',', ""'Thriller"", ""'"", ']', 'Two', 'researcher', 'green', 'alternative', 'energy', 'project', 'put', 'run', 'framed', 'murder', 'treason', '.']"
Matilda,"['[', ""'Comedy"", ""'"", ',', ""'Family"", ""'"", ',', ""'Fantasy"", ""'"", ']', 'grouchy', 'couple', 'parent', 'sweet', 'girl', ',', 'Matilda', '.', 'Unlike', 'bratty', 'brother', 'mean', 'parent', ',', 'Matilda', 'becomes', 'sweet', 'extremely', 'intelligent', '6', 'year', 'old', 'girl', ',', 'keen', 'go', 'school', 'read', 'book', '.', ',', 'parent', 'send', 'school', 'worst', 'principal', 'world', ',', 'sweet', 'teacher', ',', 'good', 'friend', '.', 'trying', 'put', 'parent', ""'"", 'principal', ""'s"", 'cruelty', ',', 'start', 'unwittingly', 'unleash', 'telekinetic', 'power', ',', 'destroying', 'television', 'making', 'newt', 'fly', 'onto', 'principal', '.', 'enough', 'practice', ',', 'Matilda', 'start', 'learn', 'control', 'telekinetic', 'power', 'soon', 'using', 'principal', 'drive', 'away', 'school', '.']"
